线索来源,日期,车次/车牌/航班/场所名,出行类型,出发站,到达站,车厢,出行描述,开始时间,结束时间,提交时间,事件备注
 江川发布 , 01-18 ,昆明地铁1号线转2号线,  地铁  ,昆明南站,东风广场站,,,1/18/2020 14:00,1/18/2020 15:18,2/3/2020 1:49,
 湖南疾控 , 01-18 ,G1009,  火车  ,武汉,郴州西,6号车厢,座位：02A,1/18/2020 9:41,1/18/2020 12:39,2/5/2020 0:19,
 江川发布公众号 , 01-18 ,G2803,  火车  ,毕节,昆明南,14号车厢,14车01D座,1/18/2020 10:36,1/18/2020 13:43,2/3/2020 1:49,
 丹东市新型冠状病毒感染的肺炎疫情防控指挥部 , 01-18 ,DR6562,  飞机  ,呼和浩特,沈阳桃仙机场,,8B座位,1/18/2020 16:00,1/18/2020 18:00,2/6/2020 13:02,
 人民日报 , 01-18 ,NS3270,  飞机  ,昆明,石家庄,,,1/18/2020 0:00,1/18/2020 23:59,2/4/2020 1:19,
 呼和浩特市应对新型冠状病毒感染肺炎疫情防控工作指挥部 , 01-18 ,DR6562,  飞机  ,呼和浩特白塔机场,沈阳仙桃机场,,座位：9D,1/18/2020 14:00,1/18/2020 15:40,2/6/2020 13:20,
 湖南疾控 , 01-18 ,G1113,  火车  ,武汉,岳阳东站,,,1/18/2020 10:26,1/18/2020 11:18,2/5/2020 0:19,
 乌海市海勃湾区网信办 , 01-18 ,K1517,  火车  ,呼和浩特东,乌海,,,1/18/2020 11:03,1/18/2020 17:19,2/6/2020 13:55,
 人民日报 , 01-18 ,G524,  火车  ,汉口,郑州,,,1/18/2020 15:20,1/18/2020 17:34,2/4/2020 1:26,
 云南曲靖市新型冠状病毒感染的肺炎防控指挥部 , 01-18 ,Z53,  火车  ,武昌,曲靖,2号车厢,,1/18/2020 0:00,1/18/2020 23:59,1/27/2020 20:23,
 扬子晚报网 , 01-18 ,MU2622,  飞机  ,武汉,广州,,,1/18/2020 16:05,1/18/2020 17:55,2/2/2020 11:10,
 人民网 , 01-18 ,G520,  火车  ,武汉汉口,北京西,13号车厢,13车10C,1/18/2020 0:00,1/18/2020 23:59,2/3/2020 1:49,
 新浪广西 , 01-18 ,T123,  火车  ,武昌,衡阳,2号车厢,038号座位，T122/T123,1/18/2020 22:56,1/19/2020 4:47,1/31/2020 22:12,
 新浪广西 , 01-18 ,K315,  火车  ,武昌,桂林北,6号车厢,022号座位，K315/K318,1/18/2020 8:53,1/18/2020 21:34,1/31/2020 22:12,
 枣庄发布 , 01-18 ,HU7021,  飞机  ,海口,南京,,,1/18/2020 0:00,1/18/2020 23:59,1/27/2020 21:05,
 枣庄发布 , 01-18 ,G158,  火车  ,南京,枣庄市薛城区,15号车厢,座位：13F,1/18/2020 18:57,1/18/2020 20:41,1/27/2020 21:07,
 环球网 , 01-18 ,D3154,  火车  ,汉口,南通,1号车厢,,1/18/2020 14:26,1/18/2020 23:59,1/27/2020 21:14,
 宜兴发布 , 01-18 ,D3044,  火车  ,武昌,无锡,7号车厢,座次7车01A,1/18/2020 9:42,1/18/2020 15:10,2/3/2020 1:50,
 宝鸡日报 , 01-18 ,D6858,  火车  ,汉中,西安北,4号车厢,8排D座,1/18/2020 9:37,1/18/2020 11:15,1/31/2020 22:12,
 宝鸡日报 , 01-18 ,D6815,  火车  ,西安北,宝鸡南,4号车厢,2排D座,1/18/2020 12:21,1/18/2020 13:13,1/31/2020 22:12,
 人民日报 , 01-18 ,ZH457,  飞机  ,武汉,临汾,,,1/18/2020 0:00,1/18/2020 23:59,2/4/2020 1:26,
 恩施发布 , 01-18 ,D5943,  火车  ,汉口,恩施,11号车厢,,1/18/2020 6:31,1/18/2020 10:28,2/3/2020 1:50,
 人民日报 , 01-18 ,CA8215,  飞机  ,临汾,北京,,,1/18/2020 0:00,1/18/2020 23:59,2/4/2020 1:26,
 朝阳市新型冠状病毒感染的肺炎疫情防控指挥部办公室 , 01-18 ,G520,  火车  ,汉口,北京西,11号车厢,,1/18/2020 7:00,1/18/2020 11:27,2/2/2020 15:13,
 兖州疾控预防中心 , 01-18 ,K1074,  火车  ,武汉,兖州,,确诊患者侄女车次,1/18/2020 20:45,1/19/2020 7:30,2/5/2020 0:19,
 朝阳市新型冠状病毒感染的肺炎疫情防控指挥部办公室 , 01-18 ,Z61,  火车  ,北京,长春,18号车厢,,1/18/2020 22:10,1/19/2020 6:35,2/2/2020 15:13,
 人民日报、广西壮族自治区新型冠状病毒感染的肺炎防控指挥部 , 01-18 ,G431,  火车  ,武汉,南宁,2号车厢,同趟车的有1008人,1/18/2020 7:06,1/18/2020 14:44,1/28/2020 0:53,
 济南城市频道 , 01-18 ,G1834,  火车  ,郑州东,曲阜东,3号车厢,,1/18/2020 18:20,1/18/2020 21:12,1/31/2020 22:12,
 人民日报、广西壮族自治区新型冠状病毒感染的肺炎防控指挥部 , 01-18 ,G435,  火车  ,武汉,柳州,,同趟车的有1057人,1/18/2020 13:29,1/18/2020 19:38,1/28/2020 0:56,
 三门峡发布 , 01-18 ,K131,  火车  ,郑州,西安,15号车厢,无座,1/18/2020 13:40,1/18/2020 15:00,2/3/2020 1:50,
 济宁市疾病预防控制中心 , 01-18 ,G316,  火车  ,重庆北,曲阜东,2号车厢,座位：05B,1/18/2020 6:47,1/18/2020 17:45,2/2/2020 16:59,
 淄博发布 , 01-18 ,G316,  火车  ,武汉汉口,淄博,13号车厢,3F,1/18/2020 13:13,1/18/2020 19:20,1/28/2020 1:59,
 晋城市疫情防控领导小组办公室  , 01-18 ,K1366/K1367,  火车  ,武昌,晋城,9号车厢,,1/18/2020 9:34,1/18/2020 21:55,2/2/2020 18:20,
 巴彦淖尔市新型冠状病毒感染肺炎防控工作指挥部 , 01-18 ,K1517,  火车  ,呼和浩特东,乌海,,,1/18/2020 11:03,1/18/2020 17:27,2/5/2020 0:19,
 人民日报 , 01-18 ,Z38,  火车  ,武汉,北京西,,,1/18/2020 19:50,1/18/2020 6:40,2/6/2020 14:56,
 晋城市疫情防控领导小组办公室  , 01-18 ,晋城华天易网良仟加盟网吧（晋城市凤台东街131号）,  其它公共场所  ,,,,通宵上网,1/18/2020 21:55,1/19/2020 7:00,2/2/2020 18:23,
 人民日报 , 01-18 ,D6733,  火车  ,天津,唐山,,,1/18/2020 10:09,1/18/2020 11:16,2/6/2020 14:56,
 广西卫生健康委员会 , 01-18 ,K1561,  火车  ,永州,梧州,6号车厢,座位号：111,1/18/2020 1:32,1/18/2020 6:59,2/3/2020 14:55,
 扬子晚报 , 01-18 ,南京4号线转3号线,  地铁  ,徐庄苏宁总部地铁站,鸡鸣寺站中转3号线到柳州东路下车,,徐庄苏宁总部地铁站座4号线至鸡鸣寺站中转3号线到柳州东路下车,1/18/2020 18:00,1/18/2020 0:00,1/31/2020 22:12,
 云上恩施，鹤峰县新型冠状病毒感染的肺炎防控指挥部 , 01-18 ,D5756,  火车  ,武昌,恩施,1号车厢,座位：01C,1/18/2020 10:20,1/18/2020 14:28,2/5/2020 0:19,
 扬子晚报 , 01-18 ,G7014,  火车  ,,南京,7号车厢,11F,1/18/2020 0:00,1/18/2020 14:40,1/31/2020 22:12,
 扬子晚报 , 01-18 ,南京1号线,  地铁  ,南京火车站,新街口,,到新街口后 步行到福来德商场,1/18/2020 15:00,1/18/2020 0:00,1/31/2020 22:12,
 扬子晚报 , 01-18 ,南京新街口福来德商场,  其它公共场所  ,,,,15:00-20:00左右,1/18/2020 15:00,1/18/2020 20:00,1/31/2020 22:12,
 扬子晚报 , 01-18 ,南京D2公交车,  公交车  ,鼓楼公交站,扬子二村站,,20:00以后,1/18/2020 0:00,1/18/2020 0:00,1/31/2020 22:12,
 央视新闻 , 01-18 ,蒙AY1754,  出租车  ,呼和浩特,呼和浩特,,出租车驾驶员确诊，除1月27日、29日在家休息，其余时间都在运营出租车,1/18/2020 0:00,1/30/2020 23:59,2/4/2020 15:32,
 吉林市卫生健康委员会 , 01-18 ,Z352,  火车  ,包头,呼和浩特,3号车厢,座位：56号,1/18/2020 10:40,1/18/2020 12:12,2/4/2020 19:41,
 郑州晚报 , 01-18 ,G84,  火车  ,武汉,郑州东,10号车厢,,1/18/2020 0:00,1/18/2020 23:59,1/28/2020 16:40,
 吉林市卫生健康委员会 , 01-18 ,T261,  火车  ,沈阳,四平,16号车厢,座位：36号,1/18/2020 21:02,1/18/2020 22:43,2/4/2020 19:43,
 广西卫生健康委员会 , 01-18 ,EU1814,  飞机  ,武汉,北海,,座位号：21E,1/18/2020 0:00,1/18/2020 23:59,2/3/2020 14:55,
 宿州广播电视台 , 01-18 ,宿州市埇桥区汴河街道十里铺集贸市场,  其它公共场所  ,,,,去购物,1/18/2020 0:00,1/18/2020 23:59,1/31/2020 22:12,
 吉林市卫生健康委员会 , 01-18 ,DR6562,  飞机  ,呼和浩特,沈阳,,座位：10F，四平确诊,1/18/2020 0:00,1/18/2020 23:59,2/4/2020 19:49,
 沈阳市卫生健康委员会 , 01-18 ,DR6562,  飞机  ,呼和浩特,沈阳,,沈阳确诊,1/18/2020 16:00,1/18/2020 23:59,2/4/2020 19:54,
 沈阳市卫生健康委员会 , 01-18 ,沈阳北站附近汉庭酒店,  其它公共场所  ,,,,沈河区惠工东一街25号,1/18/2020 17:00,1/18/2020 23:59,2/4/2020 20:22,
 绵阳日报社 , 01-18 ,CZ3441,  飞机  ,武汉,成都,,38-42排,1/18/2020 0:00,1/18/2020 23:59,2/3/2020 17:41,
 河南商报 , 01-18 ,G4198,  火车  ,郑州东,商丘,12号车厢,,1/18/2020 18:44,1/18/2020 19:46,1/31/2020 22:12,
 河南商报 , 01-18 ,T182/T183,  火车  ,汉口,商丘南站,7号车厢,,1/18/2020 14:57,1/18/2020 20:53,1/31/2020 22:12,
 绵阳日报社 , 01-18 ,D2259,  火车  ,武汉汉口,成都东,12号车厢,17-21排,1/18/2020 10:36,1/18/2020 19:38,2/3/2020 18:00,
 河南商报 , 01-18 ,G486,  火车  ,武汉,郑州东,8号车厢,,1/18/2020 16:05,1/18/2020 18:11,1/31/2020 22:12,
 眉山发布 , 01-18 ,3U8052,  飞机  ,北海福成机场,成都双流机场,,实际起飞：1月19日凌晨，眉山确诊,1/18/2020 23:45,1/19/2020 2:30,2/4/2020 22:56,
 营口市人民政府 , 01-18 ,CZ3357,  飞机  ,武汉,深圳,,,1/18/2020 0:00,1/18/2020 23:59,2/4/2020 23:08,
 山西日报 , 01-18 ,G469,  火车  ,北京南,威海,12号车厢,座位：005D,1/18/2020 8:20,1/18/2020 14:32,2/6/2020 16:35,
 沈阳网 , 01-18 ,辽P21322,  长途客车/大巴  ,葫芦岛辽建站,三家子站,,途径寺儿堡、钢屯、暖池塘,1/18/2020 7:33,1/18/2020 8:30,2/5/2020 0:19,
 东北网 , 01-18 ,不详,  出租车  ,绥化市,绥化市,,王某某，女，45岁，身高162cm，体型微胖，独臂。凡是在2020年1月18——25日间，载过王某某的出租车驾驶人员及其密切接触者，请及时与北林区疾控中心联系。,1/18/2020 8:00,1/25/2020 8:00,1/28/2020 19:03,
 西宁晚报 , 01-18 ,MF8273,  飞机  ,武汉天河机场,西宁曹家堡机场,,"座位号56B,T3航站楼进入",1/18/2020 11:05,1/18/2020 23:59,2/1/2020 0:11,
 西宁晚报 , 01-18 ,D2687,  火车  ,西宁,民乐,6号车厢,座次6车3B,1/18/2020 15:58,1/18/2020 17:24,2/1/2020 0:11,
 烟台频道 , 01-18 ,烟台市13路,  公交车  ,大骋车站,云峰盛景站,车牌号鲁FU3879,由大骋车站站点上车，途径利群商厦、妇幼保健院、三联家电、党校、烟台信息工程学校、中医院、金运公寓至云峰盛景站点下车,1/18/2020 16:29,1/18/2020 23:59,1/28/2020 23:00,
 看丰都、丰都县卫生健康委员会 , 01-18 ,渝A32G57,  长途客车/大巴  ,浙江省温州市,重庆市丰都县,,驾驶员确诊,1/18/2020 8:50,1/18/2020 23:59,1/28/2020 23:05,
 黑龙江广播电视台 , 01-18 ,佳木斯市桦川县新文化酒店,  其它公共场所  ,,,,该日上午参加老人生日寿宴,1/18/2020 0:00,1/18/2020 23:59,2/1/2020 0:11,
 新湖南客户端.娄底 , 01-18 ,G834,  火车  ,武汉,长沙南,11号车厢,11车厢006C座,1/18/2020 0:00,1/18/2020 23:59,1/28/2020 23:16,
 央视新闻 , 01-18 ,Z54,  火车  ,武昌,郑州,17号车厢,,1/18/2020 6:19,1/18/2020 11:08,2/1/2020 11:54,
 合肥市卫健委 , 01-18 ,D3068,  火车  ,上海南,麻城北,,,1/18/2020 9:40,1/18/2020 14:48,2/7/2020 13:34,
 浙江新闻，永嘉县肺炎疫情防控工作领导小组 , 01-17 ,G2039,  火车  ,武汉,温州,12号车厢,,1/17/2020 0:00,1/17/2020 23:59,1/29/2020 18:37,
 鲁南网，新浪新闻 , 01-17 ,G2039,  火车  ,武汉,温州南,3号车厢,,1/17/2020 0:00,1/17/2020 23:59,1/29/2020 18:46,
 央视新闻 , 01-17 ,T246/T247,  火车  ,武汉武昌,成都东,14号车厢,,1/17/2020 19:58,1/18/2020 11:20,1/27/2020 13:55,
 南通发布 , 01-17 ,D3158,  火车  ,汉口,南通,12号车厢,,1/17/2020 10:29,1/17/2020 15:45,2/3/2020 1:49,
 海南日报，海南省卫健委 , 01-17 ,CZ3341,  飞机  ,武汉,海口,,,1/17/2020 0:00,1/17/2020 23:59,2/3/2020 1:49,
 海南日报，海南省卫健委 , 01-17 ,GS7859,  飞机  ,武汉,海口,,,1/17/2020 0:00,1/17/2020 23:59,2/3/2020 1:49,
 广西壮族自治区卫生委官网 , 01-17 ,D4566,  火车  ,怀集,贺州,13号车厢,座位 3008,1/17/2020 19:35,1/17/2020 20:08,2/5/2020 12:27,
 人民日报 , 01-17 ,G80,  火车  ,武汉,北京西,6号车厢,6车厢02C座，全程戴口罩,1/17/2020 12:41,1/17/2020 17:01,2/5/2020 12:27,
 人民日报 , 01-17 ,G2521,  火车  ,清河,天镇,7号车厢,07车厢15B座,1/17/2020 18:24,1/17/2020 20:14,2/5/2020 12:27,
 海南日报，海南省卫健委 , 01-17 ,双泰36（022）,  轮船  ,徐闻海安,旧港,,,1/17/2020 0:00,1/17/2020 23:59,2/3/2020 1:49,
 人民日报 , 01-17 ,K1803,  火车  ,武昌,娄底,13号车厢,66号座位,1/17/2020 9:38,1/17/2020 16:31,2/5/2020 12:27,
 人民日报 , 01-17 ,D615,  火车  ,汉口,成都东,3号车厢,,1/17/2020 6:56,1/17/2020 16:16,2/4/2020 1:19,
 央视新闻，西安市新城区防控新型冠状病毒感染疫情工作指挥部 , 01-17 ,西安市新城区百香合酒店（雁翔路中段青龙寺附近）,  其它公共场所  ,西安市,西安市,,400余人的聚会，已有2名确诊,1/17/2020 0:00,1/17/2020 23:59,2/5/2020 0:19,
 人民日报 , 01-17 ,鄂ALB-961,  长途客车/大巴  ,武汉,河南安阳,黄色大巴,,1/17/2020 0:00,1/17/2020 23:59,2/1/2020 20:30,
 人民网-海南频道 , 01-17 ,凤凰岭号,  轮船  ,海安港,海口,,,1/17/2020 8:08,1/17/2020 23:59,2/3/2020 1:49,
 云南发布 , 01-17 ,CZ3541,  飞机  ,武汉,昆明,,,1/17/2020 0:00,1/17/2020 23:59,1/29/2020 22:17,
 人民日报 , 01-17 ,G8125,  火车  ,沈阳,延吉西,8号车厢,,1/17/2020 9:37,1/17/2020 13:50,2/1/2020 20:30,
 曲阜市疾病预防控制中心 , 01-17 ,G127,  火车  ,北京南,曲阜东,3号车厢,座位03C；妻子座位：10车18C,1/17/2020 11:30,1/17/2020 13:52,2/1/2020 20:30,
 呼和浩特日报 , 01-17 ,蒙AY0754,  出租车  ,呼和浩特火车站,赛罕区新建西街百捷酒店管理有限责任公司（锦江之星）酒店,,,1/17/2020 23:30,1/18/2020 0:05,2/3/2020 1:49,
 中国日报网 , 01-17 ,D7625,  火车  ,沈阳,本溪,,,1/17/2020 14:49,1/17/2020 15:20,1/27/2020 18:53,
 呼和浩特日报 , 01-17 ,CA8296,  飞机  ,郑州,呼和浩特,,座次21L,1/17/2020 22:35,1/18/2020 0:15,2/3/2020 1:49,
 呼和浩特日报 , 01-17 ,T4202,  火车  ,萨拉齐,呼和浩特,2号车厢,座位：9号,1/17/2020 22:04,1/17/2020 23:05,2/3/2020 1:49,
 来凤县新型冠状病毒感染的肺炎防控指挥部办公室，来凤发布 , 01-17 ,D5943,  火车  ,汉口,恩施,7号车厢,座位：10D,1/17/2020 6:31,1/17/2020 10:28,2/7/2020 13:47,
 人民日报 , 01-17 ,K39,  火车  ,牡丹江,鸡西,1号车厢,,1/17/2020 20:15,1/17/2020 23:20,2/1/2020 20:30,
 大渝网 , 01-17 ,D5863,  火车  ,武汉,宜昌东,,患者曾乘坐该车,1/17/2020 8:53,1/17/2020 10:55,2/7/2020 13:47,
 鹤峰县新型冠状病毒感染的肺炎防控指挥部 , 01-17 ,D5814,  火车  ,武汉,恩施,5号车厢,座位：3B号,1/17/2020 8:47,1/17/2020 12:53,2/7/2020 13:47,
 双辽市新型冠状病毒感染的肺炎疫情联防联控领导小组办公室 , 01-17 ,K1242,  火车  ,长春,双辽,5号车厢,座位：43/44,1/17/2020 10:55,1/17/2020 14:17,2/7/2020 13:47,
 大渝网 , 01-17 ,D2251,  火车  ,武汉,重庆北,13号车厢,,1/17/2020 7:42,1/17/2020 14:27,2/7/2020 13:47,
 建始县新型冠状病毒感染的肺炎防控指挥部，中国建始网 , 01-17 ,D5965,  火车  ,汉口,建始,05号车厢,,1/17/2020 11:23,1/17/2020 14:51,2/7/2020 13:47,
 利川市新型冠状病毒感染的肺炎防控指挥部办公室 , 01-17 ,D5756,  火车  ,武昌,利川,8号车厢,无座,1/17/2020 10:20,1/17/2020 15:04,2/5/2020 16:12,
 祁阳县人民政府 , 01-17 ,G1501,  火车  ,杭州东,祁阳,8车厢,座位：4C,1/17/2020 11:03,1/17/2020 17:00,2/7/2020 13:47,
 福州市闽候县人民政府 , 01-17 ,PN6219,  飞机  ,武汉,长乐机场,,,1/17/2020 0:00,1/17/2020 23:59,2/7/2020 13:47,
 来凤县新型冠状病毒感染的肺炎防控指挥部办公室，来凤发布 , 01-17 ,9824,  飞机  ,武汉天河,丽江,,座位：4F,1/17/2020 0:00,1/17/2020 23:59,2/7/2020 13:47,
 濮阳网 , 01-17 ,豫ECM559,  出租车  ,安阳高铁站,清丰县阳邵镇,,濮阳市确诊，患者与2名内黄县人拼车,1/17/2020 19:15,1/17/2020 0:00,2/3/2020 1:49,
 濮阳网 , 01-17 ,G310,  火车  ,汉口,安阳东,7号车厢,7车11D,1/17/2020 16:03,1/17/2020 19:12,2/3/2020 1:49,
 人民日报 , 01-17 ,K974,  火车  ,汉口,哈尔滨西,13号车厢,,1/17/2020 18:04,1/19/2020 7:48,2/7/2020 13:47,
 西安发布 , 01-17 ,MU2168/MU216R,  飞机  ,上海,西安,头等舱7A,该乘客座位号为：头等舱7A，期间备降重庆，航班号变更为MU216R（未换飞机）,1/17/2020 0:00,1/17/2020 23:59,1/31/2020 21:50,
 湖南疾控 , 01-17 ,K1073,  火车  ,武汉,岳阳,,有1名乘客为新型冠状病毒的肺炎确诊病例,1/17/2020 7:44,1/17/2020 11:15,2/5/2020 0:19,
 三峡晚报 , 01-17 ,809城际公交,  长途客车/大巴  ,宜昌东站,秭归,,,1/17/2020 8:00,1/17/2020 8:00,1/27/2020 20:13,
 海南省卫生健康委员会 , 01-17 ,SL8438,  飞机  ,泰国,海口,,,1/17/2020 0:00,1/17/2020 23:59,2/2/2020 0:45,
 乌海市海勃湾区网信办 , 01-17 ,CA8296,  飞机  ,郑州市,呼和浩特白塔机场,,同父母一起，母亲确诊,1/17/2020 22:35,1/18/2020 0:15,2/6/2020 13:44,
 海南省卫生健康委员会 , 01-17 ,C7402,  火车  ,海口东,棋子湾,,,1/17/2020 8:11,1/17/2020 9:53,2/2/2020 0:48,
 巴彦淖尔市新型冠状病毒感染肺炎防控工作指挥部 , 01-17 ,CA8296,  飞机  ,郑州新郑机场,呼和浩特白塔机场,,,1/17/2020 22:35,1/18/2020 0:15,2/6/2020 13:49,
 人民日报 , 01-17 ,G508,  火车  ,汉口,郑州,9号车厢,,1/17/2020 7:10,1/17/2020 9:32,2/4/2020 1:26,
 宿州发布 , 01-17 ,大巴,  长途客车/大巴  ,合肥旅游汽车站,泗县汽车站,,确诊病例1，男，55岁，宿州市泗县人，武汉返乡务工人员,1/17/2020 12:10,1/17/2020 23:59,1/31/2020 22:12,
 五河发布 , 01-17 ,皖C94368,  公交车  ,泗县汽车站,五河,,车上载有8位旅客，泗县大营站下车5人，五河白墩站下车1人，五河老汽车站下车2人,1/17/2020 17:00,1/17/2020 23:59,1/31/2020 22:12,
 人民网-四川频道 , 01-17 ,3U8986,  飞机  ,南通,成都,,37-43排,1/17/2020 0:00,1/17/2020 23:59,2/3/2020 1:49,
 信阳市新型冠状病毒感染的肺炎疫情防控工作指挥部办公室 , 01-17 ,K4094,  火车  ,汉口,潢川,3号车厢,,1/17/2020 5:50,1/17/2020 10:19,2/5/2020 0:19,
 繁昌县人民政府发布 , 01-17 ,K4094,  火车  ,汉口,阜阳,14号车厢,武汉疫区回乡人员姚某,1/17/2020 5:58,1/17/2020 12:58,1/27/2020 20:40,
 泰和县新型冠状病毒感染的肺炎疫情防控应急指挥部 , 01-17 ,K1655,  火车  ,武昌,江西吉安,15号车厢,15车02号中铺,1/17/2020 11:11,1/17/2020 19:17,2/2/2020 11:15,
 泰和县新型冠状病毒感染的肺炎疫情防控应急指挥部 , 01-17 ,K1019,  火车  ,吉安,泰和,16号车厢,16车48号,1/17/2020 20:16,1/17/2020 20:41,2/2/2020 11:17,
 朝阳市新型冠状病毒感染的肺炎疫情防控指挥部办公室 , 01-17 ,8L9891,  飞机  ,武汉,大连,,"昆明起飞,经武汉到达大连",1/17/2020 14:10,1/17/2020 16:20,2/2/2020 15:13,
 朝阳市新型冠状病毒感染的肺炎疫情防控指挥部办公室 , 01-17 ,CZ6488,  飞机  ,成都,大连,,"成都起飞,途经临沂启阳机场,到达大连",1/17/2020 13:40,1/17/2020 18:25,2/2/2020 15:13,
 万宁发布 , 01-17 ,C7473,  火车  ,美兰,万宁,4号车厢,,1/17/2020 15:33,1/17/2020 23:59,2/3/2020 1:50,
 江津发布 , 01-17 ,渝A61G65,  长途客车/大巴  ,清溪沟,江津,,,1/17/2020 0:00,1/17/2020 23:59,1/31/2020 22:12,
 朝阳市新型冠状病毒感染的肺炎疫情防控指挥部办公室 , 01-17 ,G1278,  火车  ,武汉,铁岭西,15号车厢,,1/17/2020 7:55,1/17/2020 18:22,2/2/2020 15:13,
 中国甘肃网 , 01-17 ,张家川县新月花园门口婴之良品店,  其它公共场所  ,,,,购买服装,1/17/2020 12:00,1/18/2020 0:00,1/31/2020 22:12,
 央视新闻 , 01-17 ,CA8283,  飞机  ,武汉,成都,,22-28排,1/17/2020 0:00,1/17/2020 23:59,1/28/2020 16:18,
 央视新闻 , 01-17 ,MU2651,  飞机  ,武汉,成都,,46-52排,1/17/2020 0:00,1/17/2020 23:59,1/28/2020 16:19,
 宿州市卫健委 , 01-17 ,D3009/D3012,  火车  ,武汉汉口,合肥南,,,1/17/2020 8:30,1/17/2020 10:45,2/2/2020 20:03,
 广西卫生健康委员会 , 01-17 ,T8716,  火车  ,北海,防城港,2号车厢,座位号：89,1/17/2020 14:55,1/17/2020 16:20,2/3/2020 14:55,
 信阳市新型冠状病毒感染的肺炎疫情防控工作指挥部办公室 , 01-17 ,G1992,  火车  ,武汉,信阳东,11号车厢,,1/17/2020 19:15,1/17/2020 20:00,2/4/2020 1:29,
 信阳市新型冠状病毒感染的肺炎疫情防控工作指挥部办公室 , 01-17 ,K4094,  火车  ,汉口,潢川,03号车厢,,1/17/2020 5:50,1/17/2020 10:19,2/4/2020 1:29,
 淮北市卫生健康委员会 , 01-17 ,G2039,  火车  ,武汉,温州南,,乘务员，当班,1/17/2020 9:20,1/17/2020 15:55,2/2/2020 21:10,
 郑州晚报 , 01-17 ,G520,  火车  ,汉口,郑州东,9号车厢,,1/17/2020 0:00,1/17/2020 23:59,1/28/2020 16:39,
 郑州晚报 , 01-17 ,G512,  火车  ,汉口,郑州东,10号车厢,,1/17/2020 0:00,1/17/2020 23:59,1/28/2020 16:40,
 郑州晚报 , 01-17 ,T3038,  火车  ,汉口,郑州,8号车厢,,1/17/2020 0:00,1/17/2020 23:59,1/28/2020 16:40,
 吉林省卫生健康委员会 , 01-17 ,K429,  火车  ,北京,东丰,9号车厢/1号车厢,,1/17/2020 11:27,1/18/2020 2:58,2/4/2020 21:50,
 青岛新闻网 , 01-17 ,K1596,  火车  ,郑州,胶州,,座次03008,1/17/2020 16:56,1/17/2020 6:20,2/5/2020 0:19,
 人民网海南频道 , 01-17 ,C7402,  火车  ,美兰,棋子湾,5号车厢,,1/17/2020 8:02,1/17/2020 9:55,2/3/2020 20:30,
 青岛新闻网 , 01-17 ,Z54,  火车  ,武昌,郑州,,座次1706,1/17/2020 6:26,1/17/2020 11:17,2/5/2020 0:19,
 央视新闻 , 01-17 ,G93,  火车  ,郑州东,武汉,12号车厢,座位：08F,1/17/2020 7:56,1/17/2020 9:58,2/5/2020 0:19,
 央视新闻 , 01-17 ,1551,  火车  ,晋城,郑州,11号车厢,无座,1/17/2020 2:50,1/17/2020 6:12,2/5/2020 0:19,
 济南市卫生健康委员会 , 01-17 ,3U8252,  飞机  ,云南,重庆,,,1/17/2020 0:00,1/17/2020 23:59,2/6/2020 17:49,
 雄安发布 , 01-17 ,K4780,  火车  ,高碑店,北京西,11号车厢,该车途经湖北省,1/17/2020 7:44,1/17/2020 8:52,2/3/2020 1:49,
 邯郸新闻网 , 01-17 ,河北省邯郸市临漳县国美至诚美术学校组织的大巴车,  长途客车/大巴  ,武汉,河北省邯郸市临漳县,,18日凌晨停留于河南省鹤壁服务区,1/17/2020 0:00,1/18/2020 12:00,2/5/2020 0:19,
 靖江市人民政府 , 01-17 ,D3044,  火车  ,武昌,上海虹桥,,,1/17/2020 9:40,1/17/2020 16:00,2/7/2020 13:02,
 靖江市人民政府 , 01-17 ,苏MF6081,  长途客车/大巴  ,上海,靖江市,,,1/17/2020 16:00,1/17/2020 23:59,2/7/2020 13:04,
 新湖南客户端.娄底 , 01-17 ,K635,  火车  ,武昌,新化,14号车厢,14车厢无座,1/17/2020 0:00,1/17/2020 23:59,1/28/2020 23:16,
 铁岭市新型冠状病毒感染的肺炎疫情防控指挥部 , 01-17 ,G1275/G1278,  火车  ,,铁岭西,15号车厢,座位：10A,1/17/2020 7:55,1/17/2020 18:22,2/1/2020 1:50,
 人民日报 , 01-17 ,G393,  火车  ,北京南,牡丹江,14号车厢,座次14车10B,1/17/2020 10:50,1/17/2020 20:16,1/29/2020 18:32,
 人民日报 , 01-17 ,K39,  火车  ,牡丹江,鸡西,14号车厢,座次01车040,1/17/2020 20:15,1/17/2020 23:20,1/29/2020 18:33,
 央视新闻 , 01-16 ,Z162,  火车  ,武汉,石家庄,5号车厢,,1/16/2020 0:00,1/17/2020 7:00,1/27/2020 11:42,
 央视新闻 , 01-16 ,G2371,  火车  ,南昌西,瑞金,4号车厢,,1/16/2020 15:49,1/16/2020 18:36,1/27/2020 12:21,
 永城市肺炎疫情防控指挥部 , 01-16 ,G1888,  火车  ,郑州东,永城北,4号车厢,座次04车09F,1/16/2020 18:37,1/16/2020 20:00,2/3/2020 1:49,
 湛江政法 , 01-16 ,K1803,  火车  ,武昌,湛江,5号车厢,,1/16/2020 9:38,1/17/2020 7:15,2/3/2020 23:23,
 海南日报，海南省卫健委 , 01-16 ,CZ8788,  飞机  ,南昌,海口,,,1/16/2020 0:00,1/16/2020 23:59,2/3/2020 1:49,
