线索来源,日期,车次/车牌/航班/场所名,出行类型,出发站,到达站,车厢,出行描述,开始时间,结束时间,提交时间,事件备注
 朝阳市新型冠状病毒感染的肺炎疫情防控指挥部办公室 , 01-24 ,D52,  火车  ,沈阳北,盘锦,6号车厢,,1/24/2020 9:30,1/24/2020 11:01,2/2/2020 15:13,
 朝阳市新型冠状病毒感染的肺炎疫情防控指挥部办公室 , 01-24 ,D6257,  火车  ,九江,南昌,2号车厢,,1/24/2020 17:21,1/24/2020 18:32,2/2/2020 15:13,
 朝阳市新型冠状病毒感染的肺炎疫情防控指挥部办公室 , 01-24 ,G381,  火车  ,北京南,锦州南,8号车厢,,1/24/2020 7:54,1/24/2020 11:06,2/2/2020 15:13,
 庐江发布 , 01-24 ,皖A91660,  长途客车/大巴  ,白山,庐城,,,1/24/2020 11:50,1/24/2020 16:00,2/4/2020 1:26,
 信阳市新型冠状病毒感染的肺炎疫情防控工作指挥部办公室 , 01-24 ,Z238,  火车  ,哈尔滨西,信阳,08号车厢,,1/24/2020 21:39,1/25/2020 18:31,2/4/2020 1:29,
 人民日报 , 01-24 ,GJ8800,  飞机  ,越南芽庄,西安,,,1/24/2020 0:00,1/24/2020 23:59,2/6/2020 14:56,
 人民日报 , 01-24 ,CA1378,  飞机  ,三亚,北京,,,1/24/2020 0:00,1/24/2020 23:59,2/6/2020 14:56,
 人民日报 , 01-24 ,兰州公交126路,  公交车  ,铁路局,佛慈大街,,,1/24/2020 0:00,1/24/2020 23:59,2/6/2020 14:56,
 郑州晚报 , 01-24 ,G556,  火车  ,荆州,郑州东,2号车厢,,1/24/2020 0:00,1/24/2020 23:59,1/28/2020 16:45,
 人民日报 , 01-24 ,延吉公交11路,  公交车  ,九中,延边医院东门,,,1/24/2020 0:00,1/24/2020 23:59,2/6/2020 14:56,
 郑州晚报 , 01-24 ,G544,  火车  ,驻马店西,郑州东,2号车厢,,1/24/2020 0:00,1/24/2020 23:59,1/28/2020 16:45,
 蓬莱发布 , 01-24 ,MU2046,  飞机  ,新加坡樟宜机场,烟台蓬莱机场,,长沙中转,1/24/2020 3:00,1/24/2020 11:30,2/4/2020 22:03,
 人民网海南频道 , 01-24 ,金紫荆号,  轮船  ,海安港,海口,,,1/17/2020 8:01,1/24/2020 23:59,2/3/2020 20:30,
 中国海南自贸区港 , 01-24 ,轮渡船号不详,  轮船  ,海安新港,海口,,,1/17/2020 13:26,1/24/2020 23:59,2/3/2020 20:30,
 重庆市渝北区人民政府 , 01-24 ,G8541,  火车  ,成都东,沙坪坝,,,1/24/2020 7:42,1/24/2020 9:23,2/3/2020 1:49,
 人民网 , 01-24 ,热海景区、滇西抗战纪念馆,  其它公共场所  ,热海,,,,1/24/2020 0:00,1/24/2020 23:59,1/28/2020 18:44,
 重庆市渝北区人民政府 , 01-24 ,G8546,  火车  ,沙坪坝,成都东,,,1/24/2020 10:08,1/24/2020 11:37,2/3/2020 1:49,
 重庆市渝北区人民政府 , 01-24 ,G8529,  火车  ,成都东,重庆北,,,1/24/2020 11:59,1/24/2020 13:34,2/3/2020 1:49,
 邯郸市卫健委 , 01-24 ,Z4176,  火车  ,孝感,邯郸,2号车厢,,1/24/2020 12:59,1/24/2020 20:13,2/8/2020 11:39,
 弥渡发布 , 01-23 ,D3936,  火车  ,昆明站,祥云站,2车厢，9A,,1/23/2020 12:54,1/23/2020 14:37,1/29/2020 19:22,
 弥渡发布 , 01-23 ,8L9894,  飞机  ,武汉,昆明市长水机场,座次12A,,1/23/2020 7:10,1/23/2020 11:00,1/29/2020 19:24,
 弥渡发布 , 01-23 ,云A2B31W,  出租车  ,昆明市长水机场,昆明站,,,1/23/2020 11:30,1/23/2020 11:30,1/29/2020 19:26,
 人民日报 , 01-23 ,川F67640,  公交车  ,广济镇,麓棠镇,绵竹市公交,,1/23/2020 0:00,1/23/2020 23:59,2/1/2020 20:30,
 鄠邑区委网信办 , 01-23 ,陕A7MW36,  出租车  ,鄠邑高铁站,西安市鄠邑区余下街道惠南小区,,网约车,1/23/2020 16:30,1/23/2020 23:59,2/3/2020 1:49,
 人民日报 , 01-23 ,D6911,  火车  ,哈尔滨,肇东,7号车箱,座位：7车12F,1/23/2020 8:20,1/23/2020 8:42,2/7/2020 13:48,
 鹰潭市卫生健康委 , 01-23 ,K803,  火车  ,汉口,鹰潭,12号车厢,,1/23/2020 2:19,1/23/2020 9:12,2/7/2020 13:48,
 鄠邑区委网信办 , 01-23 ,G856,  火车  ,武汉,西安北,8号车厢,8车厢10B,1/23/2020 9:17,1/23/2020 14:30,2/3/2020 1:49,
 鄠邑区委网信办 , 01-23 ,D1705,  火车  ,西安北,鄠邑（户县）高铁站,12号车厢,12车6B,1/23/2020 16:10,1/23/2020 16:30,2/3/2020 1:49,
 江苏共青团 , 01-23 ,G1738,  火车  ,武汉,南京南,14号车厢,座位：04A,1/23/2020 8:25,1/23/2020 11:27,2/7/2020 13:48,
 鹰潭市人民政府 , 01-23 ,D3277,  火车  ,武汉,南昌西,12号车厢,座位：06D,1/23/2020 8:55,1/23/2020 11:27,2/7/2020 13:48,
 江苏共青团 , 01-23 ,南京市地铁S8线,  地铁  ,泰冯路站,达雄州站,,,1/23/2020 0:00,1/23/2020 12:49,2/7/2020 13:48,
 淮安发布 , 01-23 ,南京南站---淮安汽车客运东站,  长途客车/大巴  ,南京南站,淮安汽车客运东站,,,1/23/2020 6:50,1/23/2020 9:30,2/3/2020 1:49,
 鹰潭市人民政府 , 01-23 ,G1462,  火车  ,南昌西,鹰潭北,2号车厢,座位：16C,1/23/2020 12:31,1/23/2020 13:09,2/7/2020 13:48,
 扬子晚报 , 01-23 ,D3008,  火车  ,汉口,丹阳,10号车厢,,1/23/2020 9:06,1/23/2020 13:40,2/7/2020 13:48,
 人民日报 , 01-23 ,渝A6G126,  长途客车/大巴  ,斩草村,宝龙镇,,,1/23/2020 0:00,1/23/2020 23:59,2/1/2020 20:30,
 科普中国，央视新闻 , 01-23 ,T180,  火车  ,武昌,菏泽,9号车厢,座位：22号上铺,1/23/2020 8:03,1/23/2020 14:42,2/7/2020 13:48,
 广西壮族自治区卫生委官网 , 01-23 ,G1773,  火车  ,咸宁北,长沙南,5号车厢,座位15F,1/23/2020 11:44,1/23/2020 12:50,2/5/2020 12:27,
 广西壮族自治区卫生委官网 , 01-23 ,G421,  火车  ,长沙南,桂林北,16号车厢,座位002C,1/23/2020 16:17,1/23/2020 19:42,2/5/2020 12:27,
 广西壮族自治区卫生委官网 , 01-23 ,K141,  火车  ,重庆西,南宁,11号车厢,05号上铺,1/23/2020 18:00,1/24/2020 9:12,2/5/2020 12:27,
 央视新闻 , 01-23 ,Z265,  火车  ,西宁,拉萨,13号车厢,16间上铺,1/23/2020 19:31,1/24/2020 16:45,1/30/2020 10:45,
 广西壮族自治区卫生健康委员会 , 01-23 ,K141,  火车  ,重庆西,南宁,加3号车厢,9号下铺,1/23/2020 18:00,1/24/2020 9:12,2/5/2020 12:27,
 科普中国，央视新闻 , 01-23 ,K1510,  火车  ,菏泽,巨野,5号车厢,座位：010,1/23/2020 14:42,1/23/2020 15:48,2/7/2020 13:48,
 广西壮族自治区卫生委官网 , 01-23 ,D8265,  火车  ,桂林北,贺州,3号车厢,座位 008B,1/23/2020 12:16,1/23/2020 13:25,2/5/2020 12:27,
 央视新闻 , 01-23 ,南充川R60720,  长途客车/大巴  ,南充,武胜县烈面镇,,,1/23/2020 9:57,1/23/2020 23:59,1/27/2020 18:02,
 青岛西海岸新闻网 , 01-23 ,青岛地铁13号线,  地铁  ,龙湾站,古镇口,,,1/23/2020 12:31,1/23/2020 12:38,1/31/2020 22:11,
 广西壮族自治区卫生委官网 , 01-23 ,G1001,  火车  ,武汉,长沙南,4号车厢,座位004F,1/23/2020 7:25,1/23/2020 8:54,2/5/2020 12:27,
 平遥发布 , 01-23 ,K1291,  火车  ,石家庄北,太原,,14号车厢,1/23/2020 6:57,1/23/2020 9:54,1/31/2020 22:11,
